"X","Y"
232338.1036013,598387.45219806
232372.25120058,598646.49412258
232396.52803263,598705.0373636
232413.09934124,598788.34753501
232413.09790181,598812.29820023
232413.10698981,598837.55038555
232413.10560157,598862.30912935
232413.1046008,598887.36356119
232447.23614876,599146.43657684
232547.32085521,599387.82183226
232706.52455709,599595.03662738
232730.96039725,599619.43610264
232755.36056264,599643.87736202
232805.40062685,599718.87228865
232830.39812685,599743.91188865
232831.81249639,599745.32580969
232853.45979639,599766.92300969
233138.09994356,599963.82751231
233138.10839064,599987.55338056
233138.10710136,600012.30601333
233138.10620094,600037.36269058
233138.10490136,600062.31301333
233138.10400065,600087.36765535
233138.10883955,600104.75066427
233182.81761209,600400.13601344
233312.78744034,600669.13270967
233325.86691825,600683.17365438
233326.43530497,600687.90228441
233332.12614799,600728.28023876
233333.88714799,600739.16423876
233337.99087147,600762.73558787
233342.54827147,600787.17858787
233350.32786504,600824.86413087
233355.08616504,600845.86483087
233361.94856201,600874.22545285
233363.28780303,600879.42700903
233376.39093282,601068.35060861
233519.41617768,601387.75054288
233763.73602481,601638.31061747
234072.04240771,601785.81068474
234071.76034474,601786.71791491
234077.98173544,601788.65218037
234079.42800228,601789.34410395
234096.76409198,601794.14853226
234148.85354873,601898.11254512
234268.77193225,602020.74099902
234265.86254449,602023.39189772
234275.66564449,602034.15089772
234335.57726239,602094.53305506
234350.96176239,602108.77255506
234400.62347825,602151.79674079
234411.87797825,602160.91734079
234434.79961692,602178.9456341
234443.92141692,602185.9072341
234596.56218306,602281.94424418
234614.05758306,602290.85994418
234627.78534528,602297.72345518
234635.28834528,602301.40305518
234688.10642437,602322.21361069
234688.10600067,602337.36478075
234688.10480116,602362.31322019
234688.10400077,602387.35989372
234688.10280115,602412.32033944
234688.11209107,602437.56847495
234688.11090116,602462.31732038
234688.11010077,602487.36388464
234688.10890116,602512.31432019
234688.10820067,602537.36279085
234688.10700115,602562.32133964
234688.10640062,602587.36987544
234688.10510136,602612.31431354
234688.10430077,602637.36498512
234688.10310116,602662.31552038
234688.11239182,602687.56577743
234688.11130097,602712.31652684
234688.11060067,602737.37108739
234688.10940116,602762.31962038
234688.10870067,602787.36808151
234688.10750116,602812.31662038
234688.1067007,602837.3652875
234688.10560097,602862.31762666
234688.1048007,602887.36229567
234688.10370097,602912.32464431
234688.11299107,602937.56887421
234688.11180116,602962.31772038
234713.39966569,603089.61131959
234747.25824549,603346.52048287
234764.58211318,603388.28877697
234772.244738,603446.44733128
234853.90827827,603643.3981183
234864.14252011,603694.83313373
234885.08758699,603726.2159355
234894.29484055,603780.37619799
235056.57475127,604073.75544994
235306.70347219,604297.00817192
235419.535608,604343.62911064
235425.95301804,604348.61100872
235425.82043298,604348.78114313
235435.92763298,604356.65764313
235438.70963517,604358.51409516
235448.94512813,604366.46000828
235463.26642813,604376.58380828
235464.0747048,604375.44040634
235558.16246428,604438.22591092
235578.59386428,604449.78631092
235664.20146215,604492.94413484
